Nombre,URL,Disponibilidad,Fecha
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 19:35:50.339000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 19:35:50.339000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 19:35:50.339000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 19:35:50.339000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 19:35:50.339000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 19:35:50.339000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 19:35:50.339000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 19:35:50.339000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 20:06:59.816000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 20:06:59.816000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 20:06:59.816000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 20:06:59.816000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 20:06:59.816000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 20:06:59.816000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 20:06:59.816000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 20:06:59.816000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 20:06:59.816000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 20:06:59.816000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 20:06:59.816000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 20:06:59.816000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 20:06:59.816000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 20:06:59.816000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 20:37:49.000000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 20:37:49.000000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 20:37:49.000000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 20:37:49.000000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 20:37:49.000000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 20:37:49.000000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 20:37:49.000000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 20:37:49.000000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 20:37:49.000000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 20:37:49.000000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 20:37:49.000000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 20:37:49.000000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 20:37:49.000000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 20:37:49.000000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 21:09:22.284000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 21:09:22.284000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 21:09:22.284000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 21:09:22.284000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 21:09:22.284000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 21:09:22.284000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 21:09:22.284000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 21:09:22.284000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 21:09:22.284000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 21:09:22.284000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 21:09:22.284000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 21:09:22.284000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 21:09:22.284000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 21:09:22.284000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 21:39:49.224000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 21:39:49.224000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 21:39:49.224000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 21:39:49.224000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 21:39:49.224000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 21:39:49.224000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 21:39:49.224000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 21:39:49.224000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 21:39:49.224000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 21:39:49.224000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 21:39:49.224000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 21:39:49.224000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 21:39:49.224000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 21:39:49.224000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 22:10:18.465000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 22:10:18.465000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 22:10:18.465000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 22:10:18.465000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 22:10:18.465000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 22:10:18.465000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 22:10:18.465000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 22:10:18.465000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 22:10:18.465000
